Subject,Total,UR,OBC,SC,ST,EWS,INSTITUTE,COURSE
Anesthesiology,12,6,3,1,1,1,AIIMS NEW DELHI,MD
Anatomy,5,2,2,0,0,1,AIIMS NEW DELHI,MD
Biochemistry,3,0,1,1,0,1,AIIMS NEW DELHI,MD
Biophysics,2,1,1,0,0,0,AIIMS NEW DELHI,MD
Community Medicine,2,2,0,0,0,0,AIIMS NEW DELHI,MD
Dermatology & Venerology,4,1,1,1,1,0,AIIMS NEW DELHI,MD
Emergency Medicine,5,2,1,1,0,1,AIIMS NEW DELHI,MD
Geriatric Medicine,4,2,1,0,0,1,AIIMS NEW DELHI,MD
Hospital Administration,7,3,2,1,1,0,AIIMS NEW DELHI,MD
Medicine,9,3,2,2,1,1,AIIMS NEW DELHI,MD
Microbiology,2,0,0,1,0,1,AIIMS NEW DELHI,MD
Nuclear Medicine,1,1,0,0,0,0,AIIMS NEW DELHI,MD
Obst. & Gynae,18,8,5,2,1,2,AIIMS NEW DELHI,MS
Ophthalmology,8,3,2,1,1,1,AIIMS NEW DELHI,MD
Orthopedics,6,2,2,1,1,0,AIIMS NEW DELHI,MS
Otorhinolaryngology,2,2,0,0,0,0,AIIMS NEW DELHI,MS
Paediatrics,4,2,1,1,0,0,AIIMS NEW DELHI,MD
Palliative Medicine,3,1,1,1,0,0,AIIMS NEW DELHI,MD
Pathology,5,2,1,1,0,1,AIIMS NEW DELHI,MD
Pharmacology,1,0,1,0,0,0,AIIMS NEW DELHI,MD
Psychiatry,4,2,1,1,0,0,AIIMS NEW DELHI,MD
Radiodiagnosis & Interventional Radiology,7,4,2,1,0,0,AIIMS NEW DELHI,MD
Surgery,6,1,2,1,1,1,AIIMS NEW DELHI,MS
Transfusion Medicine,2,0,1,1,0,0,AIIMS NEW DELHI,MD
Conservative Dentistry & Endodontics,1,1,0,0,0,0,AIIMS NEW DELHI,MDS
Pediatrics and Preventive Dentistry,1,0,1,0,0,0,AIIMS NEW DELHI,MDS
Prosthodontics,1,0,0,0,1,0,AIIMS NEW DELHI,MDS
Neurosurgery MCh (Direct 6-year Course),2,2,0,0,0,0,AIIMS NEW DELHI,MCH
Anesthesiology,4,2,1,0,0,1,AIIMS BHOPAL,MD
Anatomy,2,0,1,1,0,0,AIIMS BHOPAL,MD
Biochemistry,2,2,0,0,0,0,AIIMS BHOPAL,MD
Community Medicine,2,1,0,0,1,0,AIIMS BHOPAL,MD
Dermatology,1,0,1,0,0,0,AIIMS BHOPAL,MD
Emergency Medicine,3,2,1,0,0,0,AIIMS BHOPAL,MD
ENT,2,1,0,1,0,0,AIIMS BHOPAL,MS
Forensic Medicine & Toxicology,2,1,1,0,0,0,AIIMS BHOPAL,MD
General Medicine,2,1,0,0,0,1,AIIMS BHOPAL,MD
Geriatric Medicine,1,1,0,0,0,0,AIIMS BHOPAL,MD
General Surgery,3,0,1,1,1,0,AIIMS BHOPAL,MS
Hospital Administration,2,1,1,0,0,0,AIIMS BHOPAL,MD
Microbiology,2,1,0,1,0,0,AIIMS BHOPAL,MD
Obstetrics & Gynaecology,3,1,1,0,0,1,AIIMS BHOPAL,MS
Ophthalmology,2,1,1,0,0,0,AIIMS BHOPAL,MD
Orthopedics,2,1,0,1,0,0,AIIMS BHOPAL,MS
Paediatrics,3,0,1,0,1,1,AIIMS BHOPAL,MD
Pathology,3,2,1,0,0,0,AIIMS BHOPAL,MD
Pharmacology,2,1,0,1,0,0,AIIMS BHOPAL,MD
Physiology,2,1,1,0,0,0,AIIMS BHOPAL,MD
Psychiatry,3,2,0,0,1,0,AIIMS BHOPAL,MD
Radiodiagnosis,4,0,2,1,0,1,AIIMS BHOPAL,MD
Transfusion Medicine & Blood Bank,1,1,0,0,0,0,AIIMS BHOPAL,MD
Dentistry (Oral & Maxillofacial Surgery),1,0,0,1,0,0,AIIMS BHOPAL,MDS
Dentistry (Public Health Dentistry),1,0,0,0,0,1,AIIMS BHOPAL,MDS
Paediatric Surgery (MCh 6 year),2,2,0,0,0,0,AIIMS BHOPAL,MCh
Anesthesiology & Critical Care,5,2,1,1,1,0,AIIMS JODHPUR,MD
Anatomy,2,1,1,0,0,0,AIIMS JODHPUR,MD
Biochemistry,4,2,1,1,0,0,AIIMS JODHPUR,MD
Community Medicine,4,1,1,1,0,1,AIIMS JODHPUR,MD
Dermatology & Venereology,4,2,1,0,0,1,AIIMS JODHPUR,MD
Emergency Medicine,2,1,0,0,0,1,AIIMS JODHPUR,MD
Family Medicine,2,1,1,0,0,0,AIIMS JODHPUR,MD
Forensic Medicine and Toxicology,5,2,2,1,0,0,AIIMS JODHPUR,MD
General Medicine,5,2,2,1,0,0,AIIMS JODHPUR,MD
General Surgery,4,1,1,1,0,1,AIIMS JODHPUR,MS
Microbiology,5,2,2,0,1,0,AIIMS JODHPUR,MD
Nuclear Medicine,2,1,0,1,0,0,AIIMS JODHPUR,MD
Obstetrics & Gynaecology,2,1,1,0,0,0,AIIMS JODHPUR,MS
Ophthalmology,1,1,0,0,0,0,AIIMS JODHPUR,MD
Orthopedics,2,1,0,0,1,0,AIIMS JODHPUR,MS
Otorhinolaryngology,1,1,0,0,0,0,AIIMS JODHPUR,MS
Paediatrics,5,2,2,1,0,0,AIIMS JODHPUR,MD
Pathology,4,1,1,1,0,1,AIIMS JODHPUR,MD
Pharmacology,1,1,0,0,0,0,AIIMS JODHPUR,MD
Physiology,4,2,1,0,0,1,AIIMS JODHPUR,MD
PMR,1,0,0,1,0,0,AIIMS JODHPUR,MD
Psychiatry,2,1,0,0,1,0,AIIMS JODHPUR,MD
Radiology,6,2,2,0,1,1,AIIMS JODHPUR,MD
Transfusion Medicine & Blood Bank,1,0,0,0,1,0,AIIMS JODHPUR,MD
Dentistry‐Oral & Maxillofacial Surgery (MDS),2,0,0,1,0,1,AIIMS JODHPUR,MDS
Dentistry‐Endodontics & Conservative Dentistry (MDS),2,1,0,1,0,0,AIIMS JODHPUR,MDS
