Institute,State,Inst. Type,Dept.,OPD,IPD,Beds,Bed Occ.,Histopath,Cytopath,Hematology,Clin. Path.,Biochem,C&S,Serology,X-Rays,USG,CT,MRI,Major OT,Minor OT,Emerg. OT
"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",Delhi,Govt,MBBS OVERALL,146068,7299,1538,0,54336,1590,544697,0,1261188,0,0,13009,6404,3520,413,0,0,0
"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",Delhi,Govt,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,4419,839
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MBBS OVERALL,24519,1838,513,73,227,93,14889,5034,29999,1273,350,2939,993,271,62,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MD DERMATOLOGY,1131,47,10,67,0,0,596,201,1200,104,64,3,0,0,0,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MD GENERAL MEDICINE,6197,563,132,71,0,0,4467,1510,8216,447,480,888,338,92,7,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MD PAEDIATRICS,1256,245,61,80,0,0,1489,504,2833,149,160,424,70,19,6,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MD PSYCHIATRY,682,22,16,71,0,0,295,101,637,15,32,6,0,3,9,0,0,0
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS ENT,1054,65,16,73,34,14,1191,403,2400,119,128,235,0,22,0,44,72,5
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS GENERAL SURGERY,3240,357,115,71,114,46,2713,906,5400,253,288,470,209,57,12,81,210,42
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS OBG,2603,282,83,69,68,28,1787,604,3600,179,192,147,298,24,7,41,104,13
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS OPHTHALMOLOGY,1125,62,16,75,0,0,744,252,1497,60,80,162,0,0,0,45,58,8
"Arunai Medical College, Thiruvannamalai",Tamil Nadu,Private,MS ORTHOPAEDICS,2108,171,62,81,11,5,1638,554,3300,164,176,588,80,46,22,45,69,19
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MBBS OVERALL,22399,1091,368,296,214,264,4260,1635,4197,562,935,4028,1779,598,269,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD ANAESTHESIOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,596,114
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD DERMATOLOGY,710,20,10,7,39,0,168,42,308,25,62,0,0,0,0,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD GENERAL MEDICINE,5057,363,88,59,10,39,1034,595,714,126,139,988,374,190,123,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD PAEDIATRICS,1306,81,30,20,0,40,155,49,268,43,108,282,192,46,0,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD PSYCHIATRY,545,20,13,9,0,0,100,46,151,0,29,0,0,23,0,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MD PULMONARY MEDICINE,561,36,13,8,10,41,173,125,189,31,50,202,110,40,14,0,0,0
"Arundathi Institute of Medical Sciences, Medchal",Telangana,Private,MS ENT,736,30,13,9,10,40,113,50,121,49,45,164,14,24,0,44,91,16
