Course,Duration,Clinical Type,Degree Type,Course Type,Total Seats
Diploma in RADIO DIAGNOSIS - DMRD (NBEMS),2 Years,Clinical,DMRD (NBEMS),Diploma (NBEMS),322
Diploma in MICROBIOLOGY,2 Years,Para Clinical,Diploma,Diploma,0
Diploma in OPHTHALMOLOGY - DO (NBEMS),2 Years,Clinical,DO (NBEMS),Diploma (NBEMS),339
DNB DERMATOLOGY,3 Years,Clinical,DNB,Degree,34
Diploma in PULMONARY MEDICINE,2 Years,Clinical,Diploma,Diploma,5
Diploma in HEALTH ADMINISTRATION,2 Years,Non Clinical,Diploma,Diploma,6
DNB ENT,3 Years,Clinical,DNB,Degree,95
DNB PALLIATIVE MEDICINE,3 Years,Clinical,DNB,Degree,20
Diploma in IMMUNOHAEMATOLOGY,2 Years,Clinical,Diploma,Diploma,2
Diploma in EMERGENCY MEDICINE - DEM (NBEMS),2 Years,Clinical,DEM (NBEMS),Diploma (NBEMS),12
DNB RADIOTHERAPY,3 Years,Clinical,DNB,Degree,117
DNB BIOCHEMISTRY,3 Years,Pre Clinical,DNB,Degree,30
Diploma in TB & CHEST DISEASE - DTCD (NBEMS),2 Years,Clinical,DTCD (NBEMS),Diploma (NBEMS),177
DNB ORTHOPAEDICS,3 Years,Clinical,DNB,Degree,498
DNB PULMONARY MEDICINE,3 Years,Clinical,DNB,Degree,127
DNB FORENSIC MEDICINE,3 Years,Para Clinical,DNB,Degree,6
Diploma in DERMATOLOGY,2 Years,Clinical,Diploma,Diploma,16
Diploma in ANAESTHESIOLOGY,2 Years,Clinical,Diploma,Diploma,96
Diploma in RADIOTHERAPY,2 Years,Clinical,Diploma,Diploma,7
DNB OBG,3 Years,Clinical,DNB,Degree,439
Diploma in HOSPITAL ADMINISTRATION,2 Years,Non Clinical,Diploma,Diploma,8
Diploma in EMERGENCY MEDICINE,2 Years,Clinical,Diploma,Diploma,0
Diploma in HEALTH EDUCATION,2 Years,Non Clinical,Diploma,Diploma,20
DNB PATHOLOGY,3 Years,Para Clinical,DNB,Degree,160
Diploma in DIABETOLOGY,2 Years,Clinical,Diploma,Diploma,3
DNB ANAESTHESIOLOGY,3 Years,Clinical,DNB,Degree,814
DNB NUCLEAR MEDICINE,3 Years,Clinical,DNB,Degree,27
Diploma in FORENSIC MEDICINE,2 Years,Para Clinical,Diploma,Diploma,1
DNB GENERAL SURGERY,3 Years,Clinical,DNB,Degree,727
DNB FAMILY MEDICINE,3 Years,Clinical,DNB,Degree,182
DNB TRANSFUSION MEDICINE,3 Years,Clinical,DNB,Degree,33
DNB PSYCHIATRY,3 Years,Clinical,DNB,Degree,60
DNB EMERGENCY MEDICINE,3 Years,Clinical,DNB,Degree,248
DNB ANATOMY,3 Years,Pre Clinical,DNB,Degree,6
DNB GENERAL MEDICINE,3 Years,Clinical,DNB,Degree,1288
Diploma in RADIODIAGNOSIS,2 Years,Clinical,Diploma,Diploma,15
DNB OPHTHALMOLOGY,3 Years,Clinical,DNB,Degree,319
DNB MICROBIOLOGY,3 Years,Para Clinical,DNB,Degree,56
Diploma in PAEDIATRICS,2 Years,Clinical,Diploma,Diploma,35
Diploma in PSYCHOLOGICAL MEDICINE,2 Years,Clinical,Diploma,Diploma,6
Diploma in ANAESTHESIOLOGY - DA (NBEMS),2 Years,Clinical,DA (NBEMS),Diploma (NBEMS),669
Diploma in PHYSICAL MEDICINE & REHABILITATION,2 Years,Clinical,Diploma,Diploma,0
Diploma in ORTHOPAEDICS,2 Years,Clinical,Diploma,Diploma,21
Diploma in PAEDIATRICS - DCH (NBEMS),2 Years,Clinical,DCH (NBEMS),Diploma (NBEMS),788
DNB PHYSIOLOGY,3 Years,Pre Clinical,DNB,Degree,10
Diploma in PUBLIC HEALTH,2 Years,Clinical,Diploma,Diploma,11
Diploma in OBG - DGO (NBEMS),2 Years,Clinical,DGO (NBEMS),Diploma (NBEMS),811
DNB PAEDIATRICS,3 Years,Clinical,DNB,Degree,551
DNB GERIATRIC MEDICINE,3 Years,Clinical,DNB,Degree,6
DNB HOSPITAL ADMINISTRATION,3 Years,Non Clinical,DNB,Degree,6
Diploma in MARINE MEDICINE,2 Years,Clinical,Diploma,Diploma,2
DNB COMMUNITY MEDICINE,3 Years,Para Clinical,DNB,Degree,18
DNB PHARMACOLOGY,3 Years,Para Clinical,DNB,Degree,10
Diploma in FAMILY MEDICINE - D Fam. Med. (NBEMS),2 Years,Clinical,D Fam. Med. (NBEMS),Diploma (NBEMS),313
Diploma in CLINICAL PATHOLOGY,2 Years,Para Clinical,Diploma,Diploma,24
DNB RADIODIAGNOSIS,3 Years,Clinical,DNB,Degree,362
Diploma in OPHTHALMOLOGY,2 Years,Clinical,Diploma,Diploma,53
Diploma in ENT,2 Years,Clinical,Diploma,Diploma,12
Diploma in COMMUNITY MEDICINE,2 Years,Para Clinical,Diploma,Diploma,1
Diploma in INDUSTRIAL HEALTH,2 Years,Clinical,Diploma,Diploma,0
Diploma in OBG,2 Years,Clinical,Diploma,Diploma,54
Diploma in ENT - DLO (NBEMS),2 Years,Clinical,DLO (NBEMS),Diploma (NBEMS),186
Diploma in SPORTS MEDICINE,2 Years,Clinical,Diploma,Diploma,6
DNB PHYSICAL MEDICINE & REHABILITATION,3 Years,Clinical,DNB,Degree,4
MD RADIOTHERAPY,3 Years,Clinical,MD,Degree,471
MS TRAUMATOLOGY AND SURGERY,3 Years,Clinical,MS,Degree,8
MD ANAESTHESIOLOGY,3 Years,Clinical,MD,Degree,4937
MD TRANSFUSION MEDICINE,3 Years,Clinical,MD,Degree,178
MD ANATOMY,3 Years,Pre Clinical,MD,Degree,1212
MD TROPICAL MEDICINE,3 Years,Clinical,MD,Degree,11
MD BIOCHEMISTRY,3 Years,Pre Clinical,MD,Degree,1107
MS ORTHOPAEDICS,3 Years,Clinical,MS,Degree,3031
DrNB CARDIO VASCULAR & THORACIC SURGERY (Direct 6 Yrs),6 Years,Clinical,DrNB (Direct 6 Yrs),Degree,89
MASTER OF PUBLIC HEALTH,2 Years,Para Clinical,MPH,Degree,7
MD PAEDIATRICS,3 Years,Clinical,MD,Degree,3523
MD PULMONARY MEDICINE,3 Years,Clinical,MD,Degree,1090
MD PSYCHIATRY,3 Years,Clinical,MD,Degree,1313
MASTER OF HOSPITAL ADMINISTRATION,2 Years,Non Clinical,MHA,Degree,0
MD COMMUNITY MEDICINE,3 Years,Para Clinical,MD,Degree,1793
MS OBG,3 Years,Clinical,MS,Degree,4065
DrNB PAEDIATRIC SURGERY (Direct 6 Yrs),6 Years,Clinical,DrNB (Direct 6 Yrs),Degree,17
DrNB PLASTIC SURGERY (Direct 6 Yrs),6 Years,Clinical,DrNB (Direct 6 Yrs),Degree,25
MD PHYSIOLOGY,3 Years,Pre Clinical,MD,Degree,1196
MD AEROSPACE MEDICINE,3 Years,Clinical,MD,Degree,10
MD MICROBIOLOGY,3 Years,Para Clinical,MD,Degree,1587
MD GERIATRICS,3 Years,Clinical,MD,Degree,56
MD RADIODIAGNOSIS,3 Years,Clinical,MD,Degree,2626
MD PATHOLOGY,3 Years,Para Clinical,MD,Degree,2912
MS ENT,3 Years,Clinical,MS,Degree,1633
MD SPORTS MEDICINE,3 Years,Clinical,MD,Degree,21
MD FAMILY MEDICINE,3 Years,Clinical,MD,Degree,20
MD LABORATORY MEDICINE,3 Years,Para Clinical,MD,Degree,5
MD FORENSIC MEDICINE,3 Years,Para Clinical,MD,Degree,730
