State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Jammu & Kashmir,"Acharya Shri Chander College of Medical Sciences, Jammu",Private,"Jammu University, Jammu",1995,40,510
Maharashtra,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",Private,"Maharashtra University of Health Sciences, Nashik",2012,48,660
Uttar Pradesh,"Autonomous State Medical College, Etah",Govt,"Atal Bihari Vajpayee Medical University, Lucknow",2021,2,0
Karnataka,"BBC Trust Multispeciality Hospital, Koppal",Private,NBEMS,0,1,100
Maharashtra,"Bhaktivedanta Hospital & Research Institute, Thane",Private,NBEMS,1986,10,200
Karnataka,"Chinmaya Mission Hospital, Bangalore",Private,NBEMS,1969,12,200
Karnataka,"Aster CMI Hospital, Bangalore",Private,NBEMS,2016,20,500
Haryana,"Civil Hospital, Gurugram",Govt,NBEMS,2004,10,300
Kerala,"Craft Hospital & Research Centre, Kodungallur",Private,NBEMS,1990,0,250
Telangana,"Deccan College of Medical Sciences, Hyderabad",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",1985,76,500
Andhra Pradesh,"Ankura Hospitals for Women & Children, Vijayawada",Private,NBEMS,0,1,100
Madhya Pradesh,"Choithram Hospital & Research Centre, Indore",Private,NBEMS,1979,15,425
Chhattisgarh,"ARPA Medcity Hospital & Research Institute, Bilaspur",Private,NBEMS,0,2,102
Odisha,"Bhima Bhoi Medical College & Hospital, Balangir",Govt,NBEMS,2018,15,600
Odisha,"Advanced Medical Research Institute (AMRI) Hospital, Bhubaneswar",Private,NBEMS,1996,15,400
Madhya Pradesh,"Apollo Sage Hospital, Bhopal",Private,NBEMS,0,3,200
Delhi,"Deen Dayal Upadhyay Hospital, New Delhi",Govt,NBEMS,1950,25,645
Andhra Pradesh,"ACSR Government Medical College, Nellore",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2014,56,750
Bihar,"Akhand Jyoti Eye Hospital, Mastichak, Saran",Private,NBEMS,0,3,175
Pondicherry,"Arvind Eye Hospital, Pondicherry",Private,NBEMS,2003,7,650
