Alloted Quota,Alloted Category,State,College,Course,Course Fee,2024 R1,2024 R2,2024 R3,2024 R4,2024 R5,2023 R1,2023 R2,2023 R3,2023 R4,2022 R1,2022 R2,2022 R3,2022 R4
DU,Open,Delhi,"Maulana Azad Medical College, New Delhi",MD RADIODIAGNOSIS,57600,103 (4),103 (4),111 (4),-,-,211 (5),211 (5),211 (5),-,160 (6),160 (6),-,-
All India Quota,Open,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD RADIODIAGNOSIS,143300,34 (2),34 (2),34 (2),-,-,35 (2),35 (2),35 (2),-,50 (2),50 (2),-,-
All India Quota,OBC,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD RADIODIAGNOSIS,41000,48 (2),48 (2),48 (2),-,-,116 (3),116 (3),116 (3),-,84 (2),84 (2),-,-
All India Quota,Open,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",MD DERMATOLOGY,124150,113 (2),113 (2),113 (2),-,-,634 (1),634 (1),634 (1),-,325 (1),416 (1),-,-
All India Quota,Open,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",MD RADIODIAGNOSIS,124150,115 (4),115 (4),435 (4),1490 (1),-,351 (4),351 (4),351 (4),-,288 (4),288 (4),-,-
All India Quota,Open,Telangana,"Nizams Institute of Medical Sciences, Hyderabad",MD RADIODIAGNOSIS,72000,117 (3),117 (3),117 (3),-,-,105 (2),105 (2),105 (2),-,181 (2),181 (2),-,-
All India Quota,Open,Tamil Nadu,"Madras Medical College, Chennai",MD RADIODIAGNOSIS,50000,50 (2),50 (2),73 (2),-,-,229 (3),229 (3),229 (3),-,141 (4),141 (4),-,-
All India Quota,EWS,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD GENERAL MEDICINE,41000,51 (1),66 (1),66 (1),-,-,118 (2),118 (2),118 (2),-,283 (2),283 (2),-,-
All India Quota,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD RADIODIAGNOSIS,57600,79 (1),79 (1),82 (1),-,-,97 (1),198 (1),79 (1),-,139 (1),166 (1),-,-
All India Quota,Open,Delhi,"Maulana Azad Medical College, New Delhi",MD GENERAL MEDICINE,57600,39 (3),64 (3),64 (3),-,-,44 (4),44 (4),44 (4),-,49 (5),49 (5),-,-
All India Quota,Open,Chandigarh,"Government Medical College, Chandigarh",MD RADIODIAGNOSIS,34500,119 (2),119 (2),119 (2),-,-,206 (2),206 (2),206 (2),-,198 (3),197 (3),-,-
All India Quota,Open,Maharashtra,"Grant Medical College, Mumbai",MD RADIODIAGNOSIS,143300,130 (3),134 (3),134 (3),-,-,219 (4),280 (4),280 (4),-,204 (2),441 (3),764 (1),-
All India Quota,Open,Delhi,"Lady Hardinge Medical College, New Delhi",MD RADIODIAGNOSIS,57600,53 (1),53 (1),53 (1),-,-,75 (1),84 (1),84 (1),-,126 (1),139 (1),-,-
All India Quota,Open,Maharashtra,"Lokmanya Tilak Municipal Medical College, Mumbai",MD GENERAL MEDICINE,143300,106 (4),106 (4),106 (4),-,-,94 (4),120 (4),120 (4),-,269 (4),369 (4),-,-
All India Quota,Open,Delhi,"ABVIMS (Formerly PGIMER) & Dr. RML Hospital, New Delhi",MD GENERAL MEDICINE,41000,38 (9),49 (9),49 (9),-,-,56 (8),56 (8),56 (8),-,56 (9),56 (9),-,-
All India Quota,Open,Delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",MD RADIODIAGNOSIS,41000,25 (5),25 (5),25 (5),-,-,13 (4),13 (4),13 (4),-,69 (4),69 (4),-,-
