Round,AI Rank,State,Institute,Course,Quota,Category
0,1,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,UR
0,2,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,UR
0,3,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,UR
0,4,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,AIIMS-All India,UR
0,5,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,JIPMER-All India,OBC
0,6,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,OBC
0,7,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,OBC
0,8,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,9,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,OBC
0,10,Delhi,"AIIMS, Delhi",PAEDIATRICS,AIIMS-All India,UR
0,11,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,12,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,PGIMER-All India,UR
0,13,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,14,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,UR
0,15,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,UR
0,16,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,17,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,19,Karnataka,"NIMHANS, Bangalore",NEUROLOGY 6 YRS,NIMHANS-All India,UR
0,20,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,PGIMER-All India,UR
0,21,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,JIPMER-All India,UR
0,22,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-All India,UR
0,23,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,24,Karnataka,"NIMHANS, Bangalore",NEUROLOGY 6 YRS,NIMHANS-All India,UR
0,25,Uttarakhand,"AIIMS, Rishikesh",RADIO DIAGNOSIS,AIIMS-All India,UR
0,26,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,27,Delhi,"AIIMS, Delhi",RADIO DIAGNOSIS,AIIMS-All India,OBC
0,28,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,UR
0,29,Delhi,"AIIMS, Delhi",PAEDIATRICS,AIIMS-All India,UR
0,30,Delhi,"AIIMS, Delhi",INECTIOUS DISEASES 6 YRS,AIIMS-All India,UR
0,31,Delhi,"AIIMS, Delhi",PAEDIATRICS,AIIMS-All India,UR
0,32,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,AIIMS-All India,UR
0,33,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,PGIMER-All India,OBC
0,34,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,EWS
0,35,Pondicherry,"JIPMER, Puducherry",RADIO DIAGNOSIS,JIMPER-Inst. Pref,INST (JIPMER)
0,36,Maharashtra,"AIIMS, Nagpur",GENERAL MEDICINE,AIIMS-All India,UR
0,37,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,PGIMER-All India,UR
0,38,Pondicherry,"JIPMER, Puducherry",DERMATOLOGY,JIPMER-All India,OBC
0,39,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,OBC
0,40,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,AIIMS-All India,UR
0,41,Chandigarh,"PGIMER, Chandigarh",GENERAL MEDICINE,PGIMER-All India,OBC
0,42,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,AIIMS-All India,UR
0,43,Uttarakhand,"AIIMS, Rishikesh",GENERAL MEDICINE,AIIMS-All India,UR
0,44,Madhya Pradesh,"AIIMS, Bhopal",RADIO DIAGNOSIS,AIIMS-All India,UR
0,45,Bihar,"AIIMS, Patna",GENERAL MEDICINE,AIIMS-All India,UR
0,46,Delhi,"AIIMS, Delhi",GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,47,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,UR
0,48,Rajasthan,"AIIMS, Jodhpur",RADIO DIAGNOSIS,AIIMS-All India,OBC
0,49,Delhi,"AIIMS, Delhi",GENERAL MEDICINE,AIIMS-All India,EWS
0,50,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,AIIMS-All India,UR
0,51,Pondicherry,"JIPMER, Puducherry",GENERAL MEDICINE,JIPMER-All India,UR
